"","id","CL","TR","occasion1","occasion2","occasion3","occasion4","occasion5","occasion6","occasion7"
"73","0RRG",3,2,1,0,0,0,0,0,0
"74","0RRP",3,2,1,0,0,0,0,0,0
"75","0RRR",1,2,1,0,1,0,1,1,1
"76","0RRY",2,2,1,1,1,1,0,0,0
"77","0RYB",2,2,1,1,1,0,1,0,1
"78","0RYD",3,2,1,0,0,0,0,1,1
"79","0RYG",2,2,1,1,1,0,0,0,0
"80","0RYR",3,2,1,1,0,0,0,0,0
"81","0RYY",1,2,1,1,0,1,1,0,0
"82","0YBD",3,3,NA,1,0,0,0,0,0
"83","0YBG",3,3,NA,1,0,0,0,0,0
"84","0YBR",3,3,NA,1,1,0,0,0,0
"85","0YBY",3,3,NA,1,0,0,1,1,1
"86","0YDB",1,2,1,1,0,0,1,1,1
"87","0YDD",1,1,1,0,0,0,0,0,0
"88","0YDG",1,1,1,0,1,0,0,0,0
"89","0YDP",2,2,1,1,0,0,0,0,0
"90","0YDR",1,1,1,0,1,0,0,0,1
"91","0YDY",2,1,1,0,1,0,0,0,0
"92","0YGB",1,1,1,0,0,0,0,0,0
"93","0YGD",2,1,1,0,0,0,0,0,0
"94","0YGG",2,1,1,0,1,0,0,0,1
"95","0YGP",2,1,1,0,1,1,0,1,1
"96","0YGR",1,1,1,0,0,0,0,0,0
"97","0YGY",2,1,1,0,0,0,0,0,0
"98","0YPB",3,1,NA,1,0,1,1,0,0
"99","0YPD",3,2,NA,1,1,1,0,1,1
"100","0YPG",3,2,NA,1,0,0,0,0,0
"101","0YPP",2,2,NA,1,1,0,0,0,0
"102","0YPR",3,3,NA,1,0,0,0,0,1
"103","0YPY",2,2,NA,1,0,1,1,1,0
"104","0YRB",1,1,1,0,1,0,1,1,1
"105","0YRD",2,1,1,1,1,0,0,0,0
"106","0YRG",2,1,1,0,1,1,1,1,1
"107","0YRP",1,1,1,0,0,0,0,0,0
"108","0YRR",1,1,1,0,1,1,1,0,1
"109","0YRY",1,1,1,1,1,1,1,1,0
"110","0YYB",2,1,1,1,1,1,0,0,0
"111","0YYD",1,1,1,1,0,1,1,0,1
"112","0YYG",2,1,1,1,0,1,0,0,0
"113","0YYP",2,1,1,0,0,0,0,1,0
"114","0YYR",3,1,1,0,0,1,0,0,0
"115","0YYY",2,1,1,0,0,0,0,0,0
"116","BBBB",1,1,1,1,0,0,0,0,0
"117","BPBB",1,1,1,1,1,0,1,0,0
"118","BPBP",1,1,1,1,0,0,0,0,0
"119","BPPPBB",1,2,NA,NA,1,0,1,1,1
"120","BPPPPB",2,2,NA,NA,1,1,0,1,0
"121","BPPPPP",1,2,NA,NA,1,0,0,0,0
"122","PBBB",2,1,1,1,1,0,1,0,1
"123","PBBP",1,1,1,0,0,0,1,1,1
"124","PBPB",1,1,1,1,1,0,1,1,1
"125","PBPP",1,3,1,1,1,1,0,1,0
"126","PBPPBB",1,2,1,1,1,0,0,0,0
"127","PBPPPB",1,2,1,1,1,0,1,1,0
"128","PPBPBP",1,1,1,1,0,0,0,0,0
"129","PPPB",1,3,1,1,0,0,0,0,1
"130","PPPPPB",1,1,1,0,0,0,0,0,0
"131","PPPPPP",2,1,1,0,0,1,1,0,0
"132","RGDDDD",1,3,1,0,0,0,1,1,0
"133","RGDDDG",1,2,1,1,1,0,0,0,1
"134","RGDDDY",1,3,1,1,0,0,0,0,0
"135","RGDDGD",1,2,1,1,0,0,0,0,0
"136","RGDDRG",1,2,1,1,0,0,1,0,0
"137","RGDDYD",1,2,1,0,0,0,0,0,0
"138","RGDGDD",1,2,1,1,1,1,1,1,1
"139","RGDYDY",1,2,1,0,0,0,0,0,0
"140","RGDYGD",1,2,1,1,0,0,0,0,0
"141","RGDYRD",1,2,1,1,1,0,0,0,0
"142","RGDYRG",2,2,1,1,0,0,0,0,0
"143","RGDYRY",1,2,1,1,1,1,1,1,1
"144","RGDYYR",1,2,1,1,1,0,0,0,0
"145","RRY",2,2,1,0,0,0,0,0,0
"146","RYDRGG",3,3,NA,NA,NA,NA,1,0,0
"147","RYDRGY",2,3,NA,NA,NA,NA,1,0,0
"148","RYDRRB",1,3,NA,NA,NA,NA,1,0,0
"149","RYDRRD",1,1,NA,NA,NA,NA,1,0,0
"150","RYDRRG",2,1,NA,NA,NA,NA,1,0,0
"151","RYDRRR",2,2,NA,NA,NA,NA,1,1,1
"152","RYDRYD",2,1,NA,NA,NA,NA,1,0,0
"153","RYDRYP",1,1,NA,NA,NA,NA,1,0,1
"154","RYDRYY",2,1,NA,NA,NA,NA,1,1,1
"155","RYDYGB",3,2,NA,NA,NA,NA,NA,1,1
"156","RYDYPG",2,3,NA,NA,NA,NA,NA,1,1
"157","RYDYYG",3,2,NA,NA,NA,NA,NA,1,1
"158","RYDYYR",2,2,NA,NA,NA,NA,NA,1,1
"159","RYRBBD",2,1,NA,1,1,0,1,0,0
"160","RYRBBG",2,1,NA,1,0,0,0,0,0
"161","RYRBBP",2,1,NA,1,0,1,1,1,0
"162","RYRBBR",1,1,NA,1,1,1,0,0,1
"163","RYRBBY",2,1,NA,1,1,1,0,0,1
"164","RYRBDB",2,1,NA,1,0,0,1,0,1
"165","RYRBDG",2,1,NA,1,0,0,1,0,0
"166","RYRBDP",2,1,NA,1,0,0,1,1,0
"167","RYRBDR",1,1,NA,1,0,0,0,0,0
"168","RYRBGB",2,2,NA,1,0,0,0,0,0
"169","RYRBGD",1,2,NA,1,1,0,1,1,1
"170","RYRBGP",1,2,NA,1,0,0,0,0,0
"171","RYRBGY",2,2,NA,1,0,0,0,0,0
"172","RYRBPB",1,1,NA,1,0,0,0,0,0
"173","RYRBPD",2,1,NA,1,0,1,0,1,1
"174","RYRBPG",2,1,NA,1,1,1,1,1,0
"175","RYRBPR",1,1,NA,1,1,0,1,0,0
"176","RYRBRD",1,2,NA,1,0,1,0,1,1
"177","RYRBRR",1,2,NA,1,0,0,0,0,0
"178","RYRBYD",1,2,NA,1,0,0,0,0,0
"179","RYRBYP",2,1,NA,1,0,0,0,0,0
"180","RYRBYR",2,2,NA,1,0,0,1,1,1
"181","RYRBYY",1,2,NA,1,0,0,0,0,0
"182","RYRDDD",3,3,NA,1,1,0,0,0,0
"183","RYRDGB",2,3,NA,1,1,1,0,0,0
"184","RYRDGD",3,3,NA,1,0,0,0,0,0
"185","RYRDGP",1,3,NA,1,1,0,1,1,1
"186","RYRDGY",2,3,NA,1,0,0,0,0,0
"187","RYRDPG",1,3,NA,1,0,0,1,1,1
"188","RYRDPP",1,3,NA,1,1,1,0,0,1
"189","RYRDPR",1,3,NA,1,0,0,0,1,1
"190","RYRDRB",2,3,NA,1,0,1,0,0,0
"191","RYRDRD",1,3,NA,1,1,1,0,0,1
"192","RYRDRP",1,3,NA,1,0,1,1,1,0
"193","RYRDRR",1,3,NA,1,0,0,0,0,0
"194","RYRDRY",2,3,NA,1,0,1,1,1,1
"195","RYRDYD",2,3,NA,1,0,1,0,0,0
"196","RYRDYG",2,3,NA,1,0,0,0,0,0
"197","RYRDYR",1,3,NA,1,1,1,0,0,0
"198","RYRPBB",1,2,NA,1,0,0,1,0,0
"199","RYRPBD",2,2,NA,1,0,0,0,0,0
"200","RYRPBG",1,2,NA,1,1,0,0,0,0
"201","RYRPBR",1,2,NA,1,0,0,0,0,0
"202","RYRPBY",1,2,NA,1,1,1,1,1,0
"203","RYRPBYY",1,2,NA,NA,1,0,0,1,1
"204","RYRPDD",1,2,NA,1,1,0,0,0,0
"205","RYRPDP",1,2,NA,1,1,0,0,0,0
"206","RYRPDR",2,2,NA,1,0,0,0,0,0
"207","RYRPDY",2,2,NA,1,0,0,0,0,1
"208","RYRPGB",1,2,NA,1,1,0,1,1,0
"209","RYRPGP",1,2,NA,1,0,1,0,0,0
"210","RYRPGR",1,3,NA,1,0,1,0,0,0
"211","RYRPGY",1,2,NA,1,0,0,1,0,0
"212","RYRPPB",2,2,NA,1,0,0,1,1,0
"213","RYRPPD",2,2,NA,1,0,0,0,0,0
"214","RYRPPG",1,2,NA,1,0,0,0,0,0
"215","RYRPPP",1,2,NA,1,1,0,0,0,0
"216","RYRPPR",1,2,NA,1,0,0,0,0,0
"217","RYRPRD",1,3,NA,1,1,0,0,0,0
"218","RYRPRG",2,3,NA,1,1,1,1,1,0
"219","RYRPRR",1,3,NA,1,1,0,1,1,0
"220","RYRPYB",1,2,NA,1,0,1,0,0,0
"221","RYRPYR",2,2,NA,1,0,1,1,1,0
"222","RYRYBD",3,3,NA,1,1,0,0,0,0
"223","RYRYBG",2,3,NA,1,0,0,1,1,1
"224","RYRYBR",3,3,NA,1,0,0,0,1,0
"225","RYRYBY",1,3,NA,1,0,0,0,0,0
"226","RYRYDD",2,3,NA,1,1,0,1,0,1
"227","RYRYDR",2,3,NA,1,0,0,0,0,0
"228","RYRYDY",2,3,NA,1,0,0,0,0,0
"229","RYRYGR",2,1,1,0,0,0,1,0,1
"230","RYRYPG",2,3,NA,1,0,0,1,0,0
"231","RYRYPP",2,3,NA,1,1,0,1,0,1
"232","RYRYPR",2,3,NA,1,1,1,1,1,1
"233","RYRYYD",2,3,NA,1,0,1,1,1,1
"234","RYRYYG",1,3,NA,1,0,0,1,1,0
"235","RYRYYP",2,3,NA,1,0,1,1,1,0
"236","RYRYYY",2,3,NA,1,0,0,0,0,1
"237","RYYBBP",1,2,NA,NA,NA,NA,1,1,1
"238","RYYBBR",1,2,NA,NA,NA,NA,1,0,0
"239","RYYBDD",2,3,NA,NA,NA,NA,1,0,1
"240","RYYBDR",1,2,NA,NA,NA,NA,1,1,0
"241","RYYBGB",1,2,NA,NA,NA,NA,1,0,0
"242","RYYDBB",2,2,NA,NA,1,0,0,1,0
"243","RYYDBD",2,2,NA,NA,1,1,0,0,0
"244","RYYDBG",2,2,NA,NA,1,1,0,0,0
"245","RYYDBP",1,2,NA,NA,1,1,1,0,0
"246","RYYDBR",2,2,NA,NA,1,1,1,1,0
"247","RYYDBY",1,2,NA,NA,1,1,0,1,1
"248","RYYDDG",3,1,NA,NA,1,0,1,0,1
"249","RYYDDP",3,1,NA,NA,1,1,0,0,1
"250","RYYDGD",1,1,NA,NA,1,0,0,0,0
"251","RYYDGR",2,1,NA,NA,1,1,1,0,1
"252","RYYDPG",3,1,NA,NA,1,0,0,0,1
"253","RYYDPP",2,2,NA,NA,1,0,0,1,0
"254","RYYDPR",2,1,NA,NA,1,1,1,0,0
"255","RYYDRD",2,1,NA,NA,1,0,0,1,0
"256","RYYDRG",2,1,NA,NA,1,0,0,0,0
"257","RYYDRP",1,1,NA,NA,1,1,1,1,1
"258","RYYDRR",1,1,NA,NA,1,0,0,0,0
"259","RYYDRY",2,1,NA,NA,1,1,1,1,0
"260","RYYDYB",2,1,NA,NA,1,0,1,1,1
"261","RYYDYG",1,1,NA,NA,1,0,1,1,0
"262","RYYDYP",3,1,NA,NA,1,1,0,0,0
"263","RYYDYY",2,1,NA,NA,1,0,0,0,0
"264","RYYGBB",2,2,NA,NA,1,0,0,0,0
"265","RYYGDP",2,3,NA,NA,1,0,0,1,1
"266","RYYGDY",2,3,NA,NA,1,0,1,1,1
"267","RYYGGB",2,1,NA,1,0,0,0,1,1
"268","RYYGGY",2,1,NA,1,1,0,0,0,0
"269","RYYGPD",1,3,NA,NA,1,0,1,1,1
"270","RYYGPG",2,3,NA,NA,1,0,0,0,0
"271","RYYGPR",2,3,NA,NA,1,0,0,0,0
"272","RYYGPY",2,3,NA,NA,1,0,1,1,1
"273","RYYGRB",3,1,NA,1,0,0,0,0,1
"274","RYYGRD",2,1,NA,1,1,1,0,0,0
"275","RYYGRG",3,1,NA,1,1,0,0,1,0
"276","RYYGRP",1,1,NA,1,1,0,1,0,0
"277","RYYGRR",2,1,NA,1,0,1,1,1,1
"278","RYYGRY",3,1,NA,1,1,1,0,1,1
"279","RYYGYR",3,1,NA,1,1,1,1,1,0
"280","RYYPRR",3,2,NA,NA,1,1,0,1,0
"281","RYYPYB",1,1,NA,NA,NA,1,0,1,1
"282","RYYPYY",1,1,NA,NA,NA,1,0,0,0
"283","RYYRBB",2,1,NA,1,0,1,1,1,1
"284","RYYRBD",1,1,NA,1,1,0,0,0,0
"285","RYYRBG",1,1,NA,1,0,0,0,0,0
"286","RYYRBR",1,1,NA,1,0,1,0,1,0
"287","RYYRBY",1,1,NA,1,0,0,0,1,0
"288","RYYRDB",2,1,NA,1,1,1,1,1,0
"289","RYYRDG",1,2,NA,1,0,1,0,1,1
"290","RYYRDP",2,1,NA,1,1,0,0,0,0
"291","RYYRGG",2,2,NA,1,0,0,0,0,0
"292","RYYRGP",1,2,NA,1,1,0,1,0,0
"293","RYYRGY",1,2,NA,1,1,0,0,0,0
"294","RYYRPB",1,1,NA,1,0,0,0,0,0
"295","RYYRPR",1,1,NA,1,0,0,0,0,0
"296","RYYRPY",1,1,NA,1,1,0,0,1,1
"297","RYYRRD",1,2,NA,1,0,0,0,0,0
"298","RYYRRG",1,2,NA,1,1,0,0,0,0
"299","RYYRYD",1,2,NA,1,1,0,0,0,0
"300","RYYRYR",2,2,NA,1,1,1,0,1,0
"301","RYYRYY",2,2,NA,1,1,0,0,0,0
"302","RYYYBG",2,1,NA,NA,1,0,0,0,0
"303","RYYYBP",1,1,NA,NA,1,0,1,1,1
"304","RYYYBR",3,3,NA,NA,1,0,1,0,0
"305","RYYYBY",2,1,NA,NA,1,1,1,1,1
"306","RYYYDD",1,3,NA,NA,1,0,0,0,0
"307","RYYYDG",2,3,NA,NA,1,0,0,1,0
"308","RYYYDP",3,3,NA,NA,1,1,0,0,1
"309","RYYYDR",3,3,NA,NA,1,1,0,0,0
"310","RYYYDY",2,3,NA,NA,1,1,0,0,0
"311","RYYYGB",2,2,NA,NA,1,0,0,0,0
"312","RYYYGD",1,2,NA,NA,1,0,0,0,0
"313","RYYYGP",2,2,NA,NA,1,0,0,1,0
"314","RYYYGR",3,2,NA,NA,1,0,0,1,0
"315","RYYYPR",2,3,NA,NA,1,0,0,1,1
"316","RYYYRB",1,2,NA,NA,1,0,1,1,1
"317","RYYYRD",2,2,NA,NA,1,0,0,0,0
"318","RYYYRP",1,2,NA,NA,1,0,0,0,0
"319","RYYYRY",2,2,NA,NA,1,0,1,0,0
"320","RYYYYB",1,3,NA,NA,1,1,0,1,1
"321","RYYYYP",3,3,NA,NA,1,0,0,0,0
