"","id","X.1","X","No.","year","month","day","newsection","landmark","treatment","pulse","fl","matureall","maturesex.x","No","cohort","cohortsureness","maturesex.y","geneticsex","difference","sex","distance","cluster"
"103","0GGY",189,189,3492,2017,3,28,"C1",459,"control",0,90,-1,"nonbreeding",70,2016,1,NA,"female","nd","female",590,"3rd"
"104","0GGY",190,190,4138,2017,5,27,"C1",458,"control",0,103,-1,"nonbreeding",70,2016,1,NA,"female","nd","female",580,"3rd"
"105","0GPB",191,191,2043,2016,5,27,"L3",488,"late",0,62,-1,"nonbreeding",530,2016,1,NA,NA,"nd","nd",880,"3rd"
"106","0GPD",192,192,2041,2016,5,27,"L3",488,"late",0,54,-1,"nonbreeding",531,2016,1,NA,NA,"nd","nd",880,"3rd"
"107","0GPG",193,193,2404,2016,8,16,"L3",478,"late",0,72,-1,"nonbreeding",135,2016,1,NA,"pseudo","nd","nd",780,"2nd"
"108","0GPG",194,194,2025,2016,5,27,"L3",479,"late",0,73,-1,"nonbreeding",135,2016,1,NA,"pseudo","nd","nd",790,"2nd"
"109","0GPP",195,195,2042,2016,5,27,"L3",488,"late",0,58,-1,"nonbreeding",309,2016,1,"male",NA,"nd","male",880,"1st"
"110","0GPP",196,196,4074,2017,5,26,"L3",487,"late",0,145,-1,"nonbreeding",309,2016,1,"male",NA,"nd","male",870,"1st"
"111","0GPP",197,197,4807,2017,10,11,"L3",480,"late",1,176,1,"male",309,2016,1,"male",NA,"nd","male",800,"1st"
"112","0GPP",198,198,4634,2017,7,31,"L3",489,"late",0,149,-1,"nonbreeding",309,2016,1,"male",NA,"nd","male",890,"1st"
"113","0GPR",199,199,2053,2016,5,28,"C2",492,"control",0,75,-1,"nonbreeding",532,2016,1,NA,"male","nd","nd",920,"2nd"
"114","0GPR",200,200,4472,2017,7,30,"C2",492,"control",0,124,-1,"nonbreeding",532,2016,1,NA,"male","nd","nd",920,"2nd"
"115","0GPY",201,201,2039,2016,5,27,"L3",485,"late",0,65,-1,"nonbreeding",533,2016,1,NA,NA,"nd","nd",850,"3rd"
"116","0GRB",202,202,1938,2016,5,27,"C1",457,"control",0,60,-1,"nonbreeding",1492,2016,1,NA,"pseudo","nd","nd",570,"3rd"
"117","0GRB",203,203,2690,2016,8,18,"C1",457,"control",0,71,-1,"nonbreeding",1492,2016,1,NA,"pseudo","nd","nd",570,"3rd"
"118","0GRD",204,204,1909,2016,5,25,"L2",447,"late",0,66,-1,"nonbreeding",534,2016,1,NA,NA,"nd","nd",470,"2nd"
"119","0GRG",205,205,4383,2017,7,29,"L2",451,"late",0,117,-1,"nonbreeding",535,2016,1,NA,"female","nd","female",510,"2nd"
"120","0GRG",206,206,4107,2017,5,27,"L2",450,"late",0,120,-1,"nonbreeding",535,2016,1,NA,"female","nd","female",500,"2nd"
"121","0GRG",207,207,1907,2016,5,25,"L2",447,"late",0,78,-1,"nonbreeding",535,2016,1,NA,"female","nd","female",470,"2nd"
"122","0GRG",208,208,4729,2017,10,10,"L2",451,"late",1,119,0,"non",535,2016,1,NA,"female","nd","female",510,"2nd"
"123","0GRP",209,209,1916,2016,5,25,"L2",449,"late",0,70,-1,"nonbreeding",136,2016,1,NA,"male","nd","nd",490,"2nd"
"124","0GRP",210,210,2870,2016,10,10,"L2",449,"late",1,98,0,"non",136,2016,1,NA,"male","nd","nd",490,"2nd"
"125","0GRP",211,211,4378,2017,7,29,"L2",449,"late",0,131,-1,"nonbreeding",136,2016,1,NA,"male","nd","nd",490,"2nd"
"126","0GRP",212,212,3322,2017,3,19,"L2",450,"late",0,105,-1,"nonbreeding",136,2016,1,NA,"male","nd","nd",500,"2nd"
"127","0GRR",213,213,4099,2017,5,27,"L2",446,"late",0,134,-1,"nonbreeding",137,2016,1,NA,"male","nd","nd",460,"2nd"
"128","0GRR",214,214,1894,2016,5,25,"L2",444,"late",0,62,-1,"nonbreeding",137,2016,1,NA,"male","nd","nd",440,"2nd"
"129","0GRR",215,215,2255,2016,8,15,"L2",444,"late",0,72,-1,"nonbreeding",137,2016,1,NA,"male","nd","nd",440,"2nd"
"130","0GRR",216,216,4366,2017,7,29,"L2",444,"late",0,136,-1,"nonbreeding",137,2016,1,NA,"male","nd","nd",440,"2nd"
"131","0GRY",217,217,1908,2016,5,25,"L2",447,"late",0,75,-1,"nonbreeding",536,2016,1,NA,NA,"nd","nd",470,"2nd"
"132","0GYB",218,218,4053,2017,5,26,"L3",474,"late",0,111,-1,"nonbreeding",138,2016,1,NA,"male","nd","nd",740,"3rd"
"133","0GYB",219,219,2375,2016,8,16,"L3",474,"late",0,75,-1,"nonbreeding",138,2016,1,NA,"male","nd","nd",740,"3rd"
"134","0GYB",220,220,2001,2016,5,27,"L3",474,"late",0,60,-1,"nonbreeding",138,2016,1,NA,"male","nd","nd",740,"3rd"
"135","0GYB",221,221,3590,2017,3,29,"L3",474,"late",0,90,-1,"nonbreeding",138,2016,1,NA,"male","nd","nd",740,"3rd"
"136","0GYD",222,222,3152,2016,10,12,"C1",467,"control",0,86,0,"non",71,2016,1,NA,"female","nd","female",670,"2nd"
"137","0GYD",223,223,1985,2016,5,27,"C1",468,"control",0,69,-1,"nonbreeding",71,2016,1,NA,"female","nd","female",680,"2nd"
"138","0GYD",224,224,2745,2016,8,18,"C1",467,"control",0,81,-1,"nonbreeding",71,2016,1,NA,"female","nd","female",670,"2nd"
"139","0GYG",225,225,3522,2017,3,28,"C1",468,"control",0,85,-1,"nonbreeding",537,2016,1,NA,"male","nd","nd",680,"3rd"
"140","0GYG",226,226,5054,2017,10,13,"C1",469,"control",0,113,0,"non",537,2016,1,NA,"male","nd","nd",690,"3rd"
"141","0GYG",227,227,4188,2017,5,27,"C1",469,"control",0,103,-1,"nonbreeding",537,2016,1,NA,"male","nd","nd",690,"3rd"
"142","0GYG",228,228,1983,2016,5,27,"C1",468,"control",0,63,-1,"nonbreeding",537,2016,1,NA,"male","nd","nd",680,"3rd"
"143","0GYG",229,229,4460,2017,7,29,"C1",469,"control",0,108,-1,"nonbreeding",537,2016,1,NA,"male","nd","nd",690,"3rd"
"144","0GYP",230,230,1990,2016,5,27,"L3",473,"late",0,78,-1,"nonbreeding",538,2016,1,NA,NA,"nd","nd",730,"1st"
"145","0GYR",231,231,4438,2017,7,29,"C1",466,"control",0,106,-1,"nonbreeding",539,2016,1,NA,"female","nd","female",660,"3rd"
"146","0GYR",232,232,1975,2016,5,27,"C1",465,"control",0,59,-1,"nonbreeding",539,2016,1,NA,"female","nd","female",650,"3rd"
"147","0GYR",233,233,5043,2017,10,13,"C1",466,"control",0,107,0,"non",539,2016,1,NA,"female","nd","female",660,"3rd"
"148","0GYR",234,234,3514,2017,3,28,"C1",466,"control",0,76,-1,"nonbreeding",539,2016,1,NA,"female","nd","female",660,"3rd"
"149","0GYY",235,235,4174,2017,5,27,"C1",468,"control",0,103,-1,"nonbreeding",540,2016,1,NA,"male","nd","nd",680,"3rd"
"150","0GYY",236,236,1984,2016,5,27,"C1",468,"control",0,61,-1,"nonbreeding",540,2016,1,NA,"male","nd","nd",680,"3rd"
"151","0GYY",237,237,5048,2017,10,13,"C1",468,"control",0,113,0,"non",540,2016,1,NA,"male","nd","nd",680,"3rd"
"152","0GYY",238,238,4452,2017,7,29,"C1",469,"control",0,111,-1,"nonbreeding",540,2016,1,NA,"male","nd","nd",690,"3rd"
"153","0RBB",292,292,1939,2016,5,27,"C1",457,"control",0,62,-1,"nonbreeding",577,2016,1,NA,"male","nd","nd",570,"3rd"
"154","0RBB",293,293,4132,2017,5,27,"C1",456,"control",0,119,-1,"nonbreeding",577,2016,1,NA,"male","nd","nd",560,"3rd"
"155","0RBB",294,294,3485,2017,3,28,"C1",457,"control",0,84,-1,"nonbreeding",577,2016,1,NA,"male","nd","nd",570,"3rd"
"156","0RBD",295,295,1889,2016,5,25,"L2",443,"late",0,73,-1,"nonbreeding",578,2016,1,NA,NA,"nd","nd",430,"2nd"
"157","0RBG",296,296,1868,2016,5,25,"L1",439,"late",0,56,-1,"nonbreeding",579,2016,1,NA,NA,"nd","nd",390,"3rd"
"158","0RBP",297,297,1933,2016,5,27,"C1",456,"control",0,72,-1,"nonbreeding",580,2016,1,NA,NA,"nd","nd",560,"2nd"
"159","0RBY",298,302,1869,2016,5,25,"L1",439,"late",0,73,-1,"nonbreeding",581,2016,1,NA,NA,"nd","nd",390,"2nd"
"160","0RDB",299,303,2828,2016,10,10,"L1",431,"late",1,96,0,"non",72,2016,1,NA,"female","nd","female",310,"2nd"
"161","0RDB",300,304,1835,2016,5,25,"L1",431,"late",0,61,-1,"nonbreeding",72,2016,1,NA,"female","nd","female",310,"2nd"
"162","0RDB",301,305,2308,2016,8,16,"L1",431,"late",0,80,-1,"nonbreeding",72,2016,1,NA,"female","nd","female",310,"2nd"
"163","0RDD",302,306,1828,2016,5,24,"E2",423,"early ",0,60,-1,"nonbreeding",582,2016,1,NA,NA,"nd","nd",230,"3rd"
"164","0RDG",303,307,3198,2016,10,13,"E2",424,"early ",0,94,0,"non",140,2016,1,NA,"male","nd","nd",240,"2nd"
"165","0RDG",304,308,3276,2017,3,18,"E2",424,"early ",0,101,-1,"nonbreeding",140,2016,1,NA,"male","nd","nd",240,"2nd"
"166","0RDG",305,309,1826,2016,5,24,"E2",423,"early ",0,67,-1,"nonbreeding",140,2016,1,NA,"male","nd","nd",230,"2nd"
"167","0RDG",306,310,3856,2017,5,24,"E2",418,"early ",0,113,-1,"nonbreeding",140,2016,1,NA,"male","nd","nd",180,"2nd"
"168","0RDP",307,311,4328,2017,7,28,"L1",436,"late",0,101,-1,"nonbreeding",583,2016,1,NA,"pseudo","nd","nd",360,"3rd"
"169","0RDP",308,312,1834,2016,5,25,"L1",431,"late",0,54,-1,"nonbreeding",583,2016,1,NA,"pseudo","nd","nd",310,"3rd"
"170","0RDP",309,313,3891,2017,5,24,"L1",436,"late",0,98,-1,"nonbreeding",583,2016,1,NA,"pseudo","nd","nd",360,"3rd"
"171","0RDR",310,314,4302,2017,7,28,"E2",424,"early ",1,135,-1,"nonbreeding",141,2016,1,NA,"male","nd","nd",240,"2nd"
"172","0RDR",311,315,1825,2016,5,24,"E2",423,"early ",0,69,-1,"nonbreeding",141,2016,1,NA,"male","nd","nd",230,"2nd"
"173","0RDR",312,316,2510,2016,8,17,"E2",423,"early ",1,75,-1,"nonbreeding",141,2016,1,NA,"male","nd","nd",230,"2nd"
"174","0RDY",313,317,1827,2016,5,24,"E2",423,"early ",0,66,-1,"nonbreeding",584,2016,1,NA,NA,"nd","nd",230,"2nd"
"175","0RGB",314,318,3170,2016,10,13,"E2",418,"early ",0,105,0,"non",1493,2016,1,NA,"male","nd","nd",180,"1st"
"176","0RGB",315,319,2522,2016,8,17,"E2",418,"early ",1,100,-1,"nonbreeding",1493,2016,1,NA,"male","nd","nd",180,"1st"
"177","0RGB",316,320,4270,2017,7,28,"E2",415,"early ",1,171,-1,"nonbreeding",1493,2016,1,NA,"male","nd","nd",150,"1st"
"178","0RGB",317,321,1798,2016,5,24,"E2",417,"early ",0,74,-1,"nonbreeding",1493,2016,1,NA,"male","nd","nd",170,"1st"
"179","0RGD",318,322,3966,2017,5,25,"E1",408,"early ",0,135,-1,"nonbreeding",585,2016,1,NA,"male","nd","nd",80,"1st"
"180","0RGD",319,323,3304,2017,3,19,"E2",415,"early ",0,121,-1,"nonbreeding",585,2016,1,NA,"male","nd","nd",150,"1st"
"181","0RGD",320,324,4952,2017,10,12,"E1",408,"early ",0,143,0,"non",585,2016,1,NA,"male","nd","nd",80,"1st"
"182","0RGD",321,325,1792,2016,5,24,"E2",415,"early ",0,71,-1,"nonbreeding",585,2016,1,NA,"male","nd","nd",150,"1st"
"183","0RGG",322,326,2934,2016,10,11,"E1",408,"early ",0,99,0,"non",142,2016,1,NA,"male","nd","nd",80,"1st"
"184","0RGG",323,327,2552,2016,8,17,"E1",406,"early ",1,92,-1,"nonbreeding",142,2016,1,NA,"male","nd","nd",60,"1st"
"185","0RGG",324,328,1765,2016,5,24,"E1",408,"early ",0,77,-1,"nonbreeding",142,2016,1,NA,"male","nd","nd",80,"1st"
"186","0RGP",325,329,1794,2016,5,24,"E2",416,"early ",0,65,-1,"nonbreeding",586,2016,1,NA,NA,"nd","nd",160,"3rd"
"187","0RGR",326,330,1762,2016,5,24,"E1",407,"early ",0,61,-1,"nonbreeding",587,2016,1,NA,NA,"nd","nd",70,"3rd"
"188","0RGY",327,331,3838,2017,5,24,"E2",411.5,"early ",0,110,-1,"nonbreeding",21,2016,1,"male","male","0","male",115,"2nd"
"189","0RGY",328,332,1779,2016,5,24,"E2",410,"early ",0,64,-1,"nonbreeding",21,2016,1,"male","male","0","male",100,"2nd"
"190","0RGY",329,333,2965,2016,10,11,"E2",412,"early ",0,81,0,"non",21,2016,1,"male","male","0","male",120,"2nd"
"191","0RGY",330,334,3300,2017,3,19,"E2",412,"early ",0,91,-1,"nonbreeding",21,2016,1,"male","male","0","male",120,"2nd"
